Argyrosomus.regius,Chelon.labrosus
Argyrosomus.regius,Crangon.crangon
Argyrosomus.regius,Cyprinus.carpio
Argyrosomus.regius,Dicentrarchus.punctatus
Argyrosomus.regius,Engraulis.encrasicolus
Argyrosomus.regius,Liza.aurata
Argyrosomus.regius,Liza.ramada
Argyrosomus.regius,Mesopodopsis.slabberi
Argyrosomus.regius,Neomysis.integer
Argyrosomus.regius,Palaemon.longirostris
Argyrosomus.regius,Palaemon.macrodactylus
Argyrosomus.regius,Pomatoschistus
Argyrosomus.regius,Rhopalophthalmus.tartessicus
Argyrosomus.regius,Sardina.pilchardus
Argyrosomus.regius,TurbidityNTU
Argyrosomus.regius,Temp
Argyrosomus.regius,Si
Argyrosomus.regius,V30
Argyrosomus.regius,P30
Chelon.labrosus,Crangon.crangon
Chelon.labrosus,Cyprinus.carpio
Chelon.labrosus,Dicentrarchus.punctatus
Chelon.labrosus,Engraulis.encrasicolus
Chelon.labrosus,Liza.aurata
Chelon.labrosus,Liza.ramada
Chelon.labrosus,Mesopodopsis.slabberi
Chelon.labrosus,Neomysis.integer
Chelon.labrosus,Palaemon.longirostris
Chelon.labrosus,Palaemon.macrodactylus
Chelon.labrosus,Pomatoschistus
Chelon.labrosus,Rhopalophthalmus.tartessicus
Chelon.labrosus,Sardina.pilchardus
Chelon.labrosus,TurbidityNTU
Chelon.labrosus,Temp
Chelon.labrosus,Si
Chelon.labrosus,V30
Chelon.labrosus,P30
Crangon.crangon,Cyprinus.carpio
Crangon.crangon,Dicentrarchus.punctatus
Crangon.crangon,Engraulis.encrasicolus
Crangon.crangon,Liza.aurata
Crangon.crangon,Liza.ramada
Crangon.crangon,Mesopodopsis.slabberi
Crangon.crangon,Neomysis.integer
Crangon.crangon,Palaemon.longirostris
Crangon.crangon,Palaemon.macrodactylus
Crangon.crangon,Pomatoschistus
Crangon.crangon,Rhopalophthalmus.tartessicus
Crangon.crangon,Sardina.pilchardus
Crangon.crangon,TurbidityNTU
Crangon.crangon,Temp
Crangon.crangon,Si
Crangon.crangon,V30
Crangon.crangon,P30
Cyprinus.carpio,Dicentrarchus.punctatus
Cyprinus.carpio,Engraulis.encrasicolus
Cyprinus.carpio,Liza.aurata
Cyprinus.carpio,Liza.ramada
Cyprinus.carpio,Mesopodopsis.slabberi
Cyprinus.carpio,Neomysis.integer
Cyprinus.carpio,Palaemon.longirostris
Cyprinus.carpio,Palaemon.macrodactylus
Cyprinus.carpio,Pomatoschistus
Cyprinus.carpio,Rhopalophthalmus.tartessicus
Cyprinus.carpio,Sardina.pilchardus
Cyprinus.carpio,TurbidityNTU
Cyprinus.carpio,Temp
Cyprinus.carpio,Si
Cyprinus.carpio,V30
Cyprinus.carpio,P30
Dicentrarchus.punctatus,Engraulis.encrasicolus
Dicentrarchus.punctatus,Liza.aurata
Dicentrarchus.punctatus,Liza.ramada
Dicentrarchus.punctatus,Mesopodopsis.slabberi
Dicentrarchus.punctatus,Neomysis.integer
Dicentrarchus.punctatus,Palaemon.longirostris
Dicentrarchus.punctatus,Palaemon.macrodactylus
Dicentrarchus.punctatus,Pomatoschistus
Dicentrarchus.punctatus,Rhopalophthalmus.tartessicus
Dicentrarchus.punctatus,Sardina.pilchardus
Dicentrarchus.punctatus,TurbidityNTU
Dicentrarchus.punctatus,Temp
Dicentrarchus.punctatus,Si
Dicentrarchus.punctatus,V30
Dicentrarchus.punctatus,P30
Engraulis.encrasicolus,Liza.aurata
Engraulis.encrasicolus,Liza.ramada
Engraulis.encrasicolus,Mesopodopsis.slabberi
Engraulis.encrasicolus,Neomysis.integer
Engraulis.encrasicolus,Palaemon.longirostris
Engraulis.encrasicolus,Palaemon.macrodactylus
Engraulis.encrasicolus,Pomatoschistus
Engraulis.encrasicolus,Rhopalophthalmus.tartessicus
Engraulis.encrasicolus,Sardina.pilchardus
Engraulis.encrasicolus,TurbidityNTU
Engraulis.encrasicolus,Temp
Engraulis.encrasicolus,Si
Engraulis.encrasicolus,V30
Engraulis.encrasicolus,P30
Liza.aurata,Liza.ramada
Liza.aurata,Mesopodopsis.slabberi
Liza.aurata,Neomysis.integer
Liza.aurata,Palaemon.longirostris
Liza.aurata,Palaemon.macrodactylus
Liza.aurata,Pomatoschistus
Liza.aurata,Rhopalophthalmus.tartessicus
Liza.aurata,Sardina.pilchardus
Liza.aurata,TurbidityNTU
Liza.aurata,Temp
Liza.aurata,Si
Liza.aurata,V30
Liza.aurata,P30
Liza.ramada,Mesopodopsis.slabberi
Liza.ramada,Neomysis.integer
Liza.ramada,Palaemon.longirostris
Liza.ramada,Palaemon.macrodactylus
Liza.ramada,Pomatoschistus
Liza.ramada,Rhopalophthalmus.tartessicus
Liza.ramada,Sardina.pilchardus
Liza.ramada,TurbidityNTU
Liza.ramada,Temp
Liza.ramada,Si
Liza.ramada,V30
Liza.ramada,P30
Mesopodopsis.slabberi,Neomysis.integer
Mesopodopsis.slabberi,Palaemon.longirostris
Mesopodopsis.slabberi,Palaemon.macrodactylus
Mesopodopsis.slabberi,Pomatoschistus
Mesopodopsis.slabberi,Rhopalophthalmus.tartessicus
Mesopodopsis.slabberi,Sardina.pilchardus
Mesopodopsis.slabberi,TurbidityNTU
Mesopodopsis.slabberi,Temp
Mesopodopsis.slabberi,Si
Mesopodopsis.slabberi,V30
Mesopodopsis.slabberi,P30
Neomysis.integer,Palaemon.longirostris
Neomysis.integer,Palaemon.macrodactylus
Neomysis.integer,Pomatoschistus
Neomysis.integer,Rhopalophthalmus.tartessicus
Neomysis.integer,Sardina.pilchardus
Neomysis.integer,TurbidityNTU
Neomysis.integer,Temp
Neomysis.integer,Si
Neomysis.integer,V30
Neomysis.integer,P30
Palaemon.longirostris,Palaemon.macrodactylus
Palaemon.longirostris,Pomatoschistus
Palaemon.longirostris,Rhopalophthalmus.tartessicus
Palaemon.longirostris,Sardina.pilchardus
Palaemon.longirostris,TurbidityNTU
Palaemon.longirostris,Temp
Palaemon.longirostris,Si
